class,annotations
Cebolinha,756
Monica,438
Cascao,366
Chico_Bento,211
G_Adulto,194
Magali,182
Dudu,174
Ze_Lele,132
Sansao,112
Bidu,97
Louco,83
G_Animal,77
Penadinho,65
G_Alien,60
G_Crianca,58
Denise,57
Piteco,57
Pipa,54
Xaveco,53
Titi,48
Muminho,47
Franjinha,45
Chovinista,44
Zecao,43
Jeremias,42
Cranicola,42
Do_Contra,41
Dona_Perpetua,33
Tina,33
S_,32
Barnabe,31
Rosinha,31
Anjinho,31
G_Dinossauro,30
Rolo,30
Jotalhao,29
Mingau,28
Seu_Cebola,28
Raposao,27
Astronauta,26
Carmem_da_Esquina,23
Dona_Cebola,22
Primo_Zeca,22
G_Macaco_Sudito,21
Maria_Cebolinha,21
