               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097875,            0.058653,             0.11135,                   0,                   0,                   0,                   0,            0.085191,            0.039129,             0.11068,            0.070229,           0.0033079,           0.0033079
                   1,            0.091427,            0.059504,             0.10905,          0.00031242,           0.0067561,          0.00017703,           4.949e-05,            0.091365,            0.036825,             0.22013,            0.040222,           0.0066346,           0.0066346
                   2,            0.083936,             0.05269,             0.10252,           0.0033511,             0.16994,           0.0042332,           0.0013616,            0.078873,            0.034039,             0.16142,            0.010209,           0.0099548,           0.0099548
                   3,            0.072081,            0.049206,            0.092081,           0.0051906,             0.42932,            0.014005,            0.006062,            0.057557,            0.029657,            0.088534,           0.0099703,           0.0099703,           0.0099703
                   4,            0.064547,            0.046904,            0.089754,             0.90191,            0.030447,            0.016511,           0.0063548,            0.062554,            0.029367,            0.087953,           0.0099703,           0.0099703,           0.0099703
                   5,             0.05888,            0.045924,            0.088637,             0.84994,            0.077235,            0.016473,           0.0088875,            0.046544,            0.026972,              0.0873,           0.0099604,           0.0099604,           0.0099604
                   6,            0.054384,            0.044599,            0.087701,              0.6419,             0.11242,            0.019989,            0.011005,            0.045442,            0.027753,            0.086856,           0.0099505,           0.0099505,           0.0099505
                   7,            0.052551,            0.042636,            0.087366,             0.90259,            0.018115,            0.010823,           0.0053972,            0.059702,             0.03704,            0.087213,           0.0099406,           0.0099406,           0.0099406
                   8,            0.051396,            0.042763,            0.086935,             0.68355,             0.01507,           0.0078935,           0.0044347,            0.062557,            0.042166,             0.08757,           0.0099307,           0.0099307,           0.0099307
                   9,            0.049118,            0.042131,            0.086521,             0.56606,             0.16008,            0.022389,            0.013928,            0.040339,            0.023986,            0.085574,           0.0099208,           0.0099208,           0.0099208
                  10,            0.048305,            0.041147,            0.086022,             0.76212,            0.091558,            0.023169,            0.011861,            0.046533,            0.025447,            0.085931,           0.0099109,           0.0099109,           0.0099109
                  11,            0.047221,            0.041372,            0.085776,             0.70941,             0.11378,            0.022143,            0.014079,            0.038231,            0.024359,            0.085206,            0.009901,            0.009901,            0.009901
                  12,            0.045565,            0.040901,            0.084861,             0.81641,            0.082797,             0.02823,            0.018068,            0.035168,            0.023309,            0.083799,           0.0098911,           0.0098911,           0.0098911
                  13,            0.045126,            0.040895,            0.084381,             0.81785,            0.060444,            0.030267,            0.017608,            0.041008,            0.024081,            0.083306,           0.0098812,           0.0098812,           0.0098812
                  14,            0.044173,            0.039865,            0.083815,             0.83087,            0.059257,            0.033778,            0.022335,            0.035461,            0.022401,            0.082334,           0.0098713,           0.0098713,           0.0098713
                  15,            0.044357,            0.039155,            0.082776,             0.82281,            0.071593,            0.036117,            0.022821,            0.034948,            0.022594,            0.080605,           0.0098614,           0.0098614,           0.0098614
                  16,            0.042973,            0.039089,            0.081764,             0.86611,            0.066637,            0.040483,            0.027886,            0.033725,            0.022369,            0.079271,           0.0098515,           0.0098515,           0.0098515
                  17,            0.041849,            0.038261,            0.080506,             0.85696,            0.070522,            0.042658,            0.028635,            0.034288,            0.022169,            0.077365,           0.0098416,           0.0098416,           0.0098416
                  18,            0.042373,            0.039459,            0.079334,             0.83499,             0.06442,            0.046082,            0.031115,            0.033924,            0.022441,            0.075741,           0.0098317,           0.0098317,           0.0098317
                  19,            0.042473,            0.038039,            0.077953,             0.83709,            0.056879,            0.046754,            0.030521,            0.034953,            0.022245,            0.074902,           0.0098218,           0.0098218,           0.0098218
                  20,            0.041309,            0.038135,            0.076859,              0.8175,            0.076109,            0.054952,            0.038476,            0.032483,            0.021797,            0.073442,           0.0098119,           0.0098119,           0.0098119
                  21,            0.041339,            0.037938,            0.075994,             0.81935,            0.066169,            0.053115,            0.036992,            0.033407,             0.02166,            0.073727,            0.009802,            0.009802,            0.009802
                  22,            0.040925,            0.036734,            0.075002,             0.84676,            0.073456,            0.065501,            0.044836,            0.032986,            0.021254,            0.071716,           0.0097921,           0.0097921,           0.0097921
                  23,            0.039523,            0.037306,            0.074131,             0.86077,            0.077883,            0.062915,            0.044729,            0.031984,            0.021434,            0.071343,           0.0097822,           0.0097822,           0.0097822
