               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093405,            0.051833,             0.10973,                   0,                   0,                   0,                   0,            0.077591,            0.037308,             0.10522,            0.070229,           0.0033079,           0.0033079
                   1,              0.0836,            0.052411,             0.10625,          0.00025566,            0.014099,          0.00020709,           5.865e-05,            0.088646,             0.31575,             0.10413,            0.040222,           0.0066346,           0.0066346
                   2,            0.074329,            0.044712,             0.09659,           0.0028644,             0.19313,           0.0032428,           0.0010853,             0.08033,            0.029793,            0.094559,            0.010209,           0.0099548,           0.0099548
                   3,            0.064387,            0.042095,            0.090744,           0.0049143,             0.44705,            0.012579,           0.0047902,             0.05844,            0.025961,             0.08857,           0.0099703,           0.0099703,           0.0099703
                   4,            0.057347,            0.040403,            0.088957,           0.0054235,             0.47838,            0.016641,           0.0075493,            0.049689,            0.026317,            0.086913,           0.0099703,           0.0099703,           0.0099703
                   5,            0.053538,            0.039302,            0.087911,              0.9064,            0.031551,            0.018944,           0.0091742,            0.049059,            0.026139,            0.086265,           0.0099604,           0.0099604,           0.0099604
                   6,            0.049314,            0.038083,            0.086746,             0.90267,            0.018582,            0.015567,           0.0084977,            0.044887,            0.039151,            0.086505,           0.0099505,           0.0099505,           0.0099505
                   7,            0.047975,            0.036222,            0.086096,             0.79913,            0.077742,            0.023996,            0.014195,            0.037844,            0.021755,            0.084233,           0.0099406,           0.0099406,           0.0099406
                   8,            0.046768,            0.036377,            0.085173,             0.82717,            0.061027,            0.028361,            0.015513,            0.043679,            0.026372,            0.084661,           0.0099307,           0.0099307,           0.0099307
                   9,            0.045502,            0.035866,            0.084007,             0.81764,            0.050948,            0.033757,            0.021837,            0.036249,            0.021854,            0.083389,           0.0099208,           0.0099208,           0.0099208
                  10,            0.044089,            0.035069,            0.082543,             0.81842,            0.056551,            0.034224,            0.019585,            0.039616,            0.022867,            0.080018,           0.0099109,           0.0099109,           0.0099109
                  11,            0.043043,            0.035142,            0.080864,             0.84403,            0.052004,            0.039574,            0.026101,            0.034524,            0.021287,            0.078627,            0.009901,            0.009901,            0.009901
                  12,            0.042021,            0.034674,            0.078518,             0.85076,            0.066449,            0.047167,            0.031597,            0.033307,            0.020819,            0.075349,           0.0098911,           0.0098911,           0.0098911
                  13,            0.041664,            0.034845,            0.077254,             0.86791,             0.06443,            0.058547,             0.03568,            0.034503,            0.020531,            0.073861,           0.0098812,           0.0098812,           0.0098812
                  14,            0.041176,            0.034183,            0.076091,             0.85128,            0.070987,            0.056925,            0.038351,            0.032635,            0.020003,            0.072907,           0.0098713,           0.0098713,           0.0098713
                  15,            0.041099,            0.033143,            0.074954,             0.83626,            0.075188,            0.065376,            0.044866,            0.031915,            0.020552,            0.071251,           0.0098614,           0.0098614,           0.0098614
                  16,             0.03923,            0.033203,              0.0739,              0.8399,            0.083228,            0.068018,            0.046014,            0.031157,            0.019949,            0.071785,           0.0098515,           0.0098515,           0.0098515
                  17,            0.039263,            0.032458,            0.072309,              0.9157,            0.053601,            0.071036,             0.04534,            0.035503,             0.02425,            0.069526,           0.0098416,           0.0098416,           0.0098416
                  18,            0.038035,            0.033257,            0.071536,             0.83927,            0.066499,            0.072441,            0.048312,            0.032759,            0.019659,            0.069505,           0.0098317,           0.0098317,           0.0098317
                  19,            0.039305,            0.032491,            0.070011,             0.90554,            0.081744,            0.082364,            0.056938,            0.031087,            0.019654,            0.067251,           0.0098218,           0.0098218,           0.0098218
                  20,            0.038152,            0.032226,             0.06928,             0.89059,            0.073368,            0.090219,            0.063177,            0.029046,            0.019153,             0.06576,           0.0098119,           0.0098119,           0.0098119
                  21,            0.037944,            0.032149,            0.067934,             0.77421,            0.094355,             0.07999,            0.055124,            0.030584,            0.020246,            0.065653,            0.009802,            0.009802,            0.009802
                  22,            0.037719,            0.031072,            0.066746,             0.83711,            0.094278,            0.096107,            0.067063,            0.029755,            0.019406,            0.062841,           0.0097921,           0.0097921,           0.0097921
                  23,            0.037043,            0.031806,            0.065659,             0.88237,            0.082604,             0.10188,            0.071479,            0.030273,            0.019191,            0.062404,           0.0097822,           0.0097822,           0.0097822
                  24,            0.037272,            0.031798,              0.0651,             0.82201,             0.10396,             0.10152,            0.065038,            0.029664,            0.018989,            0.062043,           0.0097723,           0.0097723,           0.0097723
